States,Code,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
South Dakota,SD,14.49110914,13.98747997,13.45779142,13.24415488,13.53464158,15.33367238,15.51046443,15.42320009,15.3675379,15.20243086,14.41607939,15.41859719,17.44613236,16.96010686,16.15395646,16.16098325,16.74259681,15.7256887,15.3016515,15.165797,14.64542897,14.16801216
Tennessee,TN,20.10812669,19.23587972,18.72344955,18.66012475,19.14380508,20.8756106,21.31054231,21.15280381,21.26164972,21.10909656,19.44126417,22.03846216,24.18539012,23.78999494,23.47739697,23.3515149,23.4433028,23.04498081,22.50705344,21.68826957,20.86977144,20.21789073
Texas,TX,22.56050914,21.61853712,21.12674877,20.50501404,20.71171982,22.70955127,23.247357,23.54460536,23.52918258,22.88216097,21.43378423,22.3962585,24.81248065,24.58858908,23.77942908,23.3481143,23.66167069,22.68502111,22.48990068,22.46493375,21.6205294,21.12537222
Utah,UT,12.79779273,12.14840665,11.71927428,11.41663862,11.74780299,13.78915819,14.40588485,14.35487659,14.12868942,13.53785544,13.11767929,14.32415701,17.40186685,17.71993591,17.55791282,17.25591735,17.29268007,16.72874017,15.93666168,15.18424544,14.35909427,13.58605971
Vermont,VT,13.28691893,12.5205885,11.65163958,10.88304262,10.96935219,12.31680988,12.6809592,12.56109785,12.53070222,12.29463763,11.99139433,13.16239904,14.66209781,14.74863252,14.67335712,14.74241245,14.69142715,14.37774887,14.0820019,13.68072178,13.26692256,12.67121203
Virginia,VA,14.78580692,13.80221055,13.20784795,12.78165262,12.92932192,14.34387554,14.5832787,14.33099144,14.23130703,14.09440427,13.58056937,14.83293596,16.43316799,16.45676162,16.38998671,16.37414165,16.69391576,16.56541863,16.31316992,15.90678358,15.4012002,14.98226617
Washington,WA,11.79944791,11.65613426,11.18201701,10.82146251,11.04519303,12.31500334,12.62741423,12.71354869,12.44679665,12.16978272,11.68845885,12.52746252,14.24237953,14.15350022,14.29058575,14.31297004,14.39221402,13.96455015,13.48423935,12.95871691,12.18736426,11.49647678
West Virginia,WV,19.13345723,18.68626518,18.10622044,17.75483344,17.77772448,19.26459186,19.60346032,19.43950428,19.485319,19.0839209,16.73233106,19.41496197,21.3812602,20.85212815,20.41384799,20.27039024,20.67259886,20.60513947,20.44150789,20.37848554,19.55030388,18.7187933
Wisconsin,WI,10.50970098,9.919866707,9.470863928,9.365859181,9.749615833,11.02663789,11.32955833,11.42053247,11.65461743,11.65831991,11.52749726,12.56086383,14.42577329,14.21845598,14.42335781,14.40840862,14.51732788,14.27956561,13.85070318,13.52438977,13.00506152,12.47665323
Wyoming,WY,14.89926962,14.15259376,13.43422464,12.99130398,12.65436108,14.03582886,14.30675773,13.94029165,13.37888579,12.61886664,11.94668335,12.3364752,14.63002632,14.40291705,13.34959774,13.71743022,14.66258101,13.40335084,13.67144036,14.27669921,13.65846471,12.90653009
