States,Code,Year,Amount,Fips,Area,rate
Utah,45,2009,420,49000,Utah,7.3
Utah,45,2010,435,49000,Utah,7.8
Utah,45,2011,452,49000,Utah,6.7
Utah,45,2012,456,49000,Utah,5.4
Utah,45,2013,474,49000,Utah,4.6
Utah,45,2014,471,49000,Utah,3.8
Utah,45,2015,469,49000,Utah,3.6
Utah,45,2016,451,49000,Utah,3.4
Utah,45,2017,437,49000,Utah,3.3
Utah,45,2018,425,49000,Utah,3.1
Vermont,46,1999,48,50000,Vermont,3.0
Vermont,46,2000,46,50000,Vermont,2.8
Vermont,46,2001,47,50000,Vermont,3.3
Vermont,46,2002,55,50000,Vermont,4.0
Vermont,46,2003,56,50000,Vermont,4.3
Vermont,46,2004,57,50000,Vermont,3.7
Vermont,46,2005,59,50000,Vermont,3.5
Vermont,46,2006,61,50000,Vermont,3.7
Vermont,46,2007,66,50000,Vermont,4.0
Vermont,46,2008,69,50000,Vermont,4.7
Vermont,46,2009,81,50000,Vermont,6.6
Vermont,46,2010,82,50000,Vermont,6.1
Vermont,46,2011,83,50000,Vermont,5.5
Vermont,46,2012,86,50000,Vermont,5.0
Vermont,46,2013,88,50000,Vermont,4.4
Vermont,46,2014,88,50000,Vermont,3.9
Vermont,46,2015,88,50000,Vermont,3.6
Vermont,46,2016,86,50000,Vermont,3.2
Vermont,46,2017,84,50000,Vermont,3.0
Vermont,46,2018,81,50000,Vermont,2.7
Virginia,47,1999,692,51000,Virginia,2.7
Virginia,47,2000,687,51000,Virginia,2.3
Virginia,47,2001,711,51000,Virginia,3.2
Virginia,47,2002,824,51000,Virginia,4.2
Virginia,47,2003,857,51000,Virginia,4.1
Virginia,47,2004,875,51000,Virginia,3.8
Virginia,47,2005,908,51000,Virginia,3.6
Virginia,47,2006,944,51000,Virginia,3.1
Virginia,47,2007,1028,51000,Virginia,3.0
Virginia,47,2008,1077,51000,Virginia,3.9
Virginia,47,2009,1264,51000,Virginia,6.7
Virginia,47,2010,1286,51000,Virginia,7.1
Virginia,47,2011,1334,51000,Virginia,6.6
Virginia,47,2012,1374,51000,Virginia,6.1
Virginia,47,2013,1441,51000,Virginia,5.7
Virginia,47,2014,1458,51000,Virginia,5.2
Virginia,47,2015,1473,51000,Virginia,4.5
Virginia,47,2016,1432,51000,Virginia,4.1
Virginia,47,2017,1417,51000,Virginia,3.7
Virginia,47,2018,1398,51000,Virginia,3.0
Washington,48,1999,456,53000,Washington,4.9
Washington,48,2000,456,53000,Washington,5.2
Washington,48,2001,476,53000,Washington,6.3
Washington,48,2002,551,53000,Washington,7.4
Washington,48,2003,573,53000,Washington,7.4
Washington,48,2004,601,53000,Washington,6.3
Washington,48,2005,618,53000,Washington,5.6
Washington,48,2006,636,53000,Washington,5.0
Washington,48,2007,694,53000,Washington,4.7
Washington,48,2008,725,53000,Washington,5.4
Washington,48,2009,880,53000,Washington,9.2
Washington,48,2010,879,53000,Washington,10.0
Washington,48,2011,923,53000,Washington,9.3
Washington,48,2012,957,53000,Washington,8.1
Washington,48,2013,997,53000,Washington,7.0
Washington,48,2014,994,53000,Washington,6.1
Washington,48,2015,996,53000,Washington,5.6
Washington,48,2016,966,53000,Washington,5.3
Washington,48,2017,935,53000,Washington,4.7
Washington,48,2018,900,53000,Washington,4.5
West Virginia,49,1999,211,54000,West Virginia,6.5
West Virginia,49,2000,209,54000,West Virginia,5.5
West Virginia,49,2001,213,54000,West Virginia,5.0
West Virginia,49,2002,238,54000,West Virginia,5.9
West Virginia,49,2003,243,54000,West Virginia,6.0
West Virginia,49,2004,248,54000,West Virginia,5.3
West Virginia,49,2005,256,54000,West Virginia,5.1
West Virginia,49,2006,263,54000,West Virginia,4.9
West Virginia,49,2007,281,54000,West Virginia,4.6
West Virginia,49,2008,287,54000,West Virginia,4.3
West Virginia,49,2009,338,54000,West Virginia,7.7
West Virginia,49,2010,333,54000,West Virginia,8.7
West Virginia,49,2011,336,54000,West Virginia,8.1
West Virginia,49,2012,341,54000,West Virginia,7.5
West Virginia,49,2013,355,54000,West Virginia,6.8
West Virginia,49,2014,358,54000,West Virginia,6.6
West Virginia,49,2015,364,54000,West Virginia,6.7
West Virginia,49,2016,363,54000,West Virginia,6.1
West Virginia,49,2017,351,54000,West Virginia,5.2
West Virginia,49,2018,337,54000,West Virginia,5.3
Wisconsin,50,1999,364,55000,Wisconsin,3.1
Wisconsin,50,2000,368,55000,Wisconsin,3.5
Wisconsin,50,2001,386,55000,Wisconsin,4.5
Wisconsin,50,2002,448,55000,Wisconsin,5.4
Wisconsin,50,2003,465,55000,Wisconsin,5.7
Wisconsin,50,2004,487,55000,Wisconsin,5.0
Wisconsin,50,2005,523,55000,Wisconsin,4.7
Wisconsin,50,2006,557,55000,Wisconsin,4.7
Wisconsin,50,2007,606,55000,Wisconsin,4.9
Wisconsin,50,2008,643,55000,Wisconsin,4.9
Wisconsin,50,2009,780,55000,Wisconsin,8.6
Wisconsin,50,2010,776,55000,Wisconsin,8.7
Wisconsin,50,2011,812,55000,Wisconsin,7.8
Wisconsin,50,2012,834,55000,Wisconsin,7.0
Wisconsin,50,2013,867,55000,Wisconsin,6.7
Wisconsin,50,2014,873,55000,Wisconsin,5.4
Wisconsin,50,2015,873,55000,Wisconsin,4.6
Wisconsin,50,2016,851,55000,Wisconsin,4.0
Wisconsin,50,2017,830,55000,Wisconsin,3.3
Wisconsin,50,2018,806,55000,Wisconsin,3.0
Wyoming,51,1999,47,56000,Wyoming,4.6
Wyoming,51,2000,46,56000,Wyoming,3.9
Wyoming,51,2001,47,56000,Wyoming,3.8
Wyoming,51,2002,53,56000,Wyoming,4.0
Wyoming,51,2003,55,56000,Wyoming,4.3
Wyoming,51,2004,55,56000,Wyoming,3.8
Wyoming,51,2005,55,56000,Wyoming,3.6
Wyoming,51,2006,55,56000,Wyoming,3.2
Wyoming,51,2007,58,56000,Wyoming,2.8
Wyoming,51,2008,59,56000,Wyoming,3.1
Wyoming,51,2009,74,56000,Wyoming,6.3
Wyoming,51,2010,74,56000,Wyoming,6.4
Wyoming,51,2011,75,56000,Wyoming,5.8
Wyoming,51,2012,82,56000,Wyoming,5.3
Wyoming,51,2013,84,56000,Wyoming,4.7
Wyoming,51,2014,77,56000,Wyoming,4.1
Wyoming,51,2015,80,56000,Wyoming,4.3
Wyoming,51,2016,81,56000,Wyoming,5.3
Wyoming,51,2017,79,56000,Wyoming,4.2
Wyoming,51,2018,77,56000,Wyoming,4.1
